Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
Iacob,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Iacov,3,12,0,Male,1,1,1.03949131523292,0.718014678111836
Iagan,2,2,0,Male,1,1,1.05215297529068,0.290227252215969
Iago,9,68,0,Male,1,1,1.01056541509481,0.935963248385124
Iain,17,557,0,Male,1,1,1.00141026815788,0.991740275974906
Iain-eardsaidh,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ian,17,2184,0,Male,1,1,1.00036309740933,0.997881081205528
Ian-derry,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Iana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ianis,3,39,0,Male,1,1,1.017133005255,0.893200141037434
Ianna,3,0,5,Female,0,0,1.05457239484969,0.51094514036714
Ianthe,10,0,45,Female,0,0,1.01518475777118,0.906163643495931
Ianto,13,84,0,Male,1,1,1.00871718984614,0.947551081739203
Iara,7,0,30,Female,0,0,1.02119830296566,0.865288303860374
Iarlaith,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Iasha,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Iasmina,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Iason,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Iba,5,0,24,Female,0,0,1.02515029757606,0.836873497748962
Ibaad,8,36,0,Male,1,1,1.01830523879335,0.885276132612188
Ibby,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Iben,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ibhidh,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ibinabo,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ibinye,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ibironke,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Ibraaheem,13,76,0,Male,1,1,1.00955293513807,0.942333479796788
Ibraahim,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Ibraheem,17,1080,0,Male,1,1,1.00073182681224,0.995723873613842
Ibrahem,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Ibrahiim,3,11,0,Male,1,1,1.04135282225748,0.699814210774485
Ibrahim,17,6456,0,Male,1,1,1.00012309718734,0.999282235150121
Ibrahima,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Ibrar,13,97,0,Male,1,1,1.00763177064496,0.954274186829091
Ibrauheem,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ibtihaj,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ibtihal,6,0,23,Female,0,0,1.02595241573026,0.830930965819318
Ibtisaam,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Ibtisam,14,3,128,Female,0.0229007633587786,0.0229007633587786,0.995156799238235,0.931857793256045
Ibtyhaaj,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ibukun,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ibukunoluwa,16,34,70,Unknown,0.326923076923077,0.326923076923077,0.755866424628834,0.577956952703779
Ice,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Icy,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ida,17,0,401,Female,0,0,1.00194925899145,0.988561943018626
Ida-rose,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Idal,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Idan,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Idara,2,0,4,Female,0,0,1.05605943068294,0.454049732862462
Iddo,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Ideachi,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Iden,4,19,0,Male,1,1,1.02972128304972,0.802099492897666
Idil,17,0,120,Female,0,0,1.00625352249541,0.962727311085886
Idiris,6,21,0,Male,1,1,1.02771445470298,0.817646526372173
Idman,7,0,29,Female,0,0,1.02177015430911,0.861260047191147
Idnan,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Ido,1,5,0,Male,1,1,1.05457239484969,0.51094514036714
Idowu,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Idreece,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Idrees,17,286,0,Male,1,1,1.00271381781125,0.984032526772011
Idris,17,736,0,Male,1,1,1.00107058600154,0.993737141012277
Idriss,10,43,0,Male,1,1,1.01578341117229,0.902206785601917
Idrissa,3,8,0,Male,1,1,1.04776037949305,0.627832055623071
Ieasha,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Ieaun,5,18,0,Male,1,1,1.03083164145996,0.793289134893386
Ieesha,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Iefan,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Ieisha,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Iemanja,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Iesa,5,22,0,Male,1,1,1.02680555394299,0.824539571448393
Iesha,17,0,188,Female,0,0,1.00407607392495,0.97589979341724
Ieshaa,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Iestyn,17,1216,0,Male,1,1,1.00065045568004,0.996200398344539
Ieuan,17,2165,0,Male,1,1,1.00036627348322,0.997862523368177
Ieva,11,0,105,Female,0,0,1.0070884567492,0.957617466321689
Ifan,15,406,0,Male,1,1,1.00192567060827,0.988701293213921
Ifat,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Ife,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Ife-oluwa,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ifeakanwanne,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ifeanyi,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Ifeanyichukwu,6,24,0,Male,1,1,1.02515029757606,0.836873497748962
Ifechukwu,1,4,1,Unknown,0.8,0.8,0.979679368706283,0.359631152423812
Ifechukwude,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Ifedayo,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Ifenna,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Ifeoluwa,17,76,168,Unknown,0.311475409836066,0.311475409836066,0.743403721102413,0.627801324404356
Ifeoluwakiisha,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Ifeoluwakitan,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
