Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
K,3,0,14,Female,0,0,1.03616388249591,0.748525314766452
K-ci,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
K-jay,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Ka,17,101,71,Unknown,0.587209302325581,0.587209302325581,0.65812284541922,0.512485384296339
Ka'im,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Kaajal,3,0,12,Female,0,0,1.03949131523292,0.718014678111836
Kaamil,8,41,0,Male,1,1,1.01643078408833,0.897901645727241
Kaamilah,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Kaan,17,409,0,Male,1,1,1.00191178961259,0.988783285364459
Kaashif,5,23,0,Male,1,1,1.02595241573026,0.830930965819318
Kaaviya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Kaavya,7,0,34,Female,0,0,1.01917891017431,0.879306535672362
Kaaya,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Kabe,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Kabeer,12,59,0,Male,1,1,1.01199460177782,0.926876027695395
Kabena,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Kabir,17,366,0,Male,1,1,1.00213207448178,0.987481153756764
Kabira,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Kabisha,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Kabishan,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Kabishayan,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Kabod,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Kaboentle,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Kace,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Kacee,9,0,66,Female,0,0,1.01085287495175,0.934144568034709
Kacey,17,191,3864,Female,0.0471023427866831,0.0471023427866831,0.95901478783874,0.945923243682008
Kacey-,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Kacey-ann,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Kacey-jade,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Kacey-jane,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Kacey-jean,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Kacey-jo,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Kacey-lea,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Kacey-lee,6,0,20,Female,0,0,1.02868440248967,0.810190439457511
Kacey-leigh,12,0,163,Female,0,0,1.00467456564625,0.972300828552248
Kacey-louise,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Kacey-mae,7,0,29,Female,0,0,1.02177015430911,0.861260047191147
Kacey-mai,4,0,18,Female,0,0,1.03083164145996,0.793289134893386
Kacey-marie,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Kacey-may,6,0,30,Female,0,0,1.02119830296566,0.865288303860374
Kaceylee,2,0,3,Female,0,0,1.05597453703631,0.382528431208642
Kaceyleigh,2,0,4,Female,0,0,1.05605943068294,0.454049732862462
Kachimsibumnobi,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Kaci,15,63,1806,Female,0.0337078651685393,0.0337078651685393,0.973620426998556,0.957050982367588
Kaci-ann,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Kaci-elle,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Kaci-jane,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
