Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
N'eve,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Na,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Na'eemah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Na'ilah,4,0,15,Female,0,0,1.03467981392105,0.761436885043099
Na'ima,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Naa,10,0,41,Female,0,0,1.01643078408833,0.897901645727241
Naa'il,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Naadia,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Naadir,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Naadiya,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Naadiyah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Naadrah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Naael,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Naail,2,9,0,Male,1,1,1.04549522023528,0.655359731345175
Naaila,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Naailah,6,0,22,Female,0,0,1.02680555394299,0.824539571448392
Naana,5,0,16,Female,0,0,1.03330254928781,0.773089770177758
Naarlily,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Naavah,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Naavya,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Naayaab,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Naazish,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Naba,5,0,31,Female,0,0,1.02065523580291,0.869089368736657
Nabaa,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Nabeeha,16,0,150,Female,0,0,1.00506093815037,0.969968817481557
Nabeel,17,519,0,Male,1,1,1.00151211840307,0.991140608813018
Nabeela,17,0,151,Female,0,0,1.00502896519172,0.970162053738533
Nabeelah,12,0,70,Female,0,0,1.01029274843181,0.937684189157928
Nabeha,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Nabhan,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Nabia,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Nabiel,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Nabiha,17,0,306,Female,0,0,1.00254052427234,0.985061332382621
Nabihah,16,0,142,Female,0,0,1.00533213216994,0.968327903517051
Nabiil,5,17,0,Male,1,1,1.03202273223858,0.783659132752567
Nabil,17,510,0,Male,1,1,1.0015384329661,0.990985605811327
Nabila,17,0,283,Female,0,0,1.00274187165883,0.983865856399422
Nabilah,17,0,179,Female,0,0,1.00427303074188,0.974717189280043
Nabiya,4,0,12,Female,0,0,1.03949131523292,0.718014678111836
Nabiyl,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Nachman,4,13,0,Male,1,1,1.03776450540099,0.734140122244815
Nachmen,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Nacimo,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Nada,17,0,384,Female,0,0,1.00203396957189,0.988061316186437
Nadav,8,30,0,Male,1,1,1.02119830296566,0.865288303860374
Nade,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Nadeem,17,265,0,Male,1,1,1.00292317800982,0.982787884422491
Nadeen,9,0,43,Female,0,0,1.01578341117229,0.902206785601917
Nadeera,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Nadene,5,0,15,Female,0,0,1.03467981392105,0.761436885043099
Nader,11,48,0,Male,1,1,1.01436682751797,0.911533042815908
Nadera,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Nadesh,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Nadezhda,3,0,8,Female,0,0,1.04776037949305,0.627832055623072
Nadha,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Nadhia,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Nadhir,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Nadia,17,0,4164,Female,0,0,1.00019073810877,0.998887571644936
Nadiah,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Nadie,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Nadiir,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Nadila,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Nadim,17,146,0,Male,1,1,1.00519299907638,0.969170178838951
Nadima,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Nadin,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Nadina,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Nadine,17,0,1486,Female,0,0,1.00053283565013,0.996888729713121
Nadir,17,216,0,Male,1,1,1.00356484190828,0.978961389307153
Nadira,17,0,193,Female,0,0,1.00397430042123,0.976510202977047
Nadirah,14,0,79,Female,0,0,1.00922144210107,0.944407346245012
Nadisha,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Nadiya,17,0,140,Female,0,0,1.00540453059398,0.967889269036603
Nadiyah,13,0,129,Female,0,0,1.00584067119058,0.96524170885254
Nadja,7,0,30,Female,0,0,1.02119830296566,0.865288303860374
Nadra,8,0,27,Female,0,0,1.02300960269013,0.852435367568002
Nadwa,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Nadya,16,0,112,Female,0,0,1.00667273039082,0.960165922542232
Nadyne,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Nadzieja,1,0,2,Female,0,0,1.05215297529068,0.290227252215969
Naeem,17,328,0,Male,1,1,1.002373782963,0.986050029919379
Naeema,17,0,174,Female,0,0,1.00439089906773,0.974008632480379
Naeemah,14,0,71,Female,0,0,1.01016161130649,0.938510436496623
Nael,7,39,0,Male,1,1,1.017133005255,0.893200141037434
Naema,6,0,20,Female,0,0,1.02868440248967,0.810190439457511
Naethyn,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Naeva,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Naeve,5,0,20,Female,0,0,1.02868440248967,0.810190439457511
Naevia,1,0,6,Female,0,0,1.05244648969589,0.557219222401941
Nafees,10,42,0,Male,1,1,1.01610064702825,0.900100562106044
Nafeesa,17,0,345,Female,0,0,1.00225920332481,0.986728748870781
Nafeesah,17,0,130,Female,0,0,1.00579813667497,0.965500302130603
Nafeeza,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Nafis,7,28,0,Male,1,1,1.02237307833611,0.856983616898048
Nafisa,17,0,553,Female,0,0,1.0014203385338,0.991681003401426
Nafisah,17,0,215,Female,0,0,1.00358088265585,0.978865501857413
Nafiseh,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Nafisha,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Nafiza,4,0,12,Female,0,0,1.03949131523292,0.718014678111836
Naftali,8,39,0,Male,1,1,1.017133005255,0.893200141037434
Naftoli,10,51,0,Male,1,1,1.0136320395752,0.916321340526268
Naftuli,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Nagad,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Nageena,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Nagia,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Nagina,7,0,31,Female,0,0,1.02065523580291,0.869089368736657
Naglis,7,32,0,Male,1,1,1.0201388771232,0.872681924621729
Nagma,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Nahal,2,0,13,Female,0,0,1.03776450540099,0.734140122244815
