Name,years.appearing,count.male,count.female,prob.gender,obs.male,est.male,upper,lower
Ha,9,0,38,Female,0,0,1.01750688194436,0.89068324983006
Ha-yim,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Haad,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Haadhi,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Haadi,10,82,0,Male,1,1,1.00891213860415,0.946337237705754
Haadia,5,0,18,Female,0,0,1.03083164145996,0.793289134893386
Haadiya,12,0,103,Female,0,0,1.00721691070304,0.956828331068317
Haadiyah,12,0,83,Female,0,0,1.0088135884368,0.946951101921225
Haafila,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Haafizah,7,0,30,Female,0,0,1.02119830296566,0.865288303860374
Haajar,4,0,13,Female,0,0,1.03776450540099,0.734140122244815
Haajarah,8,0,37,Female,0,0,1.01789725940812,0.888044914754675
Haajira,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Haajirah,10,0,47,Female,0,0,1.01462956650744,0.909812829328562
Haajra,8,0,32,Female,0,0,1.0201388771232,0.872681924621729
Haajrah,8,0,31,Female,0,0,1.02065523580291,0.869089368736657
Haakon,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Haala,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Haalah,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Haamed,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Haamid,10,46,0,Male,1,1,1.01490202817531,0.908024408739109
Haana,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Haani,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Haania,6,0,31,Female,0,0,1.02065523580291,0.869089368736657
Haaniah,5,0,19,Female,0,0,1.02972128304972,0.802099492897666
Haaniya,6,0,22,Female,0,0,1.02680555394299,0.824539571448392
Haaniyah,3,0,11,Female,0,0,1.04135282225748,0.699814210774485
Haaris,17,699,0,Male,1,1,1.00112668089251,0.993407706952028
Haarisah,5,0,18,Female,0,0,1.03083164145996,0.793289134893386
Haarith,7,27,0,Male,1,1,1.02300960269013,0.852435367568002
Haaroon,6,26,0,Male,1,1,1.02368252405846,0.847588554082327
Haashim,17,134,0,Male,1,1,1.0056340140097,0.966497310966402
Haashir,6,27,0,Male,1,1,1.02300960269013,0.852435367568002
Haasini,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Haawa,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Haaziq,7,32,0,Male,1,1,1.0201388771232,0.872681924621729
Habeeb,16,103,0,Male,1,1,1.00721691070304,0.956828331068317
Habeeba,15,0,67,Female,0,0,1.01070722189196,0.935066638716736
Habeebah,16,0,92,Female,0,0,1.00801569531614,0.951902915398237
Habeel,3,12,0,Male,1,1,1.03949131523292,0.718014678111836
Haben,2,3,3,Unknown,0.5,0.5,0.812383693517349,0.187616306482651
Habib,17,328,0,Male,1,1,1.002373782963,0.986050029919379
Habiba,17,0,626,Female,0,0,1.00125658167849,0.992644329785981
Habibah,17,0,289,Female,0,0,1.00268633213725,0.984195788870606
Habibat,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Habibrahman,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Habibul,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Habibullah,3,9,0,Male,1,1,1.04549522023528,0.655359731345175
Habibur,10,43,0,Male,1,1,1.01578341117229,0.902206785601917
Habiiba,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Habil,4,14,0,Male,1,1,1.03616388249591,0.748525314766452
Habon,2,0,4,Female,0,0,1.05605943068294,0.454049732862462
Haboon,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Haci,4,12,0,Male,1,1,1.03949131523292,0.718014678111836
Hadar,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hadassa,9,0,47,Female,0,0,1.01462956650744,0.909812829328562
Hadassah,17,0,151,Female,0,0,1.00502896519172,0.970162053738533
Hadden,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Haddie,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Haddijatou,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Haddy,12,0,66,Female,0,0,1.01085287495175,0.934144568034709
Haddyjatou,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Hadeal,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hadee,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Hadeed,5,13,0,Male,1,1,1.03776450540099,0.734140122244815
Hadeel,12,0,56,Female,0,0,1.01256058615218,0.923245477129057
Hadeeqa,11,0,45,Female,0,0,1.01518475777118,0.906163643495931
Hadeeqah,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Hadeer,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hadees,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Haden,17,96,0,Male,1,1,1.00770558922391,0.953818822918413
Hader,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Hadi,17,385,0,Male,1,1,1.00202878332232,0.988091974807883
Hadia,17,0,235,Female,0,0,1.00328522522835,0.980631056142308
Hadiah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hadid,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Hadija,4,0,16,Female,0,0,1.03330254928781,0.773089770177758
Hadijatou,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hadika,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Hadil,6,0,23,Female,0,0,1.02595241573026,0.830930965819318
Hadiqa,16,0,167,Female,0,0,1.00456727272836,0.972947208550293
Hadiqah,6,0,22,Female,0,0,1.02680555394299,0.824539571448392
Hadiya,16,0,230,Female,0,0,1.00335446715866,0.98021791200769
Hadiyaah,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hadiyah,17,0,196,Female,0,0,1.00391563899854,0.976861829083592
Hadiyyah,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Hadiza,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Hadja,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hadjer,4,0,14,Female,0,0,1.03616388249591,0.748525314766452
Hadlee,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Hadleigh,12,52,5,Male,0.912280701754386,0.912280701754386,0.966031329941024,0.806468227285467
Hadley,17,483,39,Male,0.925287356321839,0.925287356321839,0.945077181973925,0.899283779970308
Hadrian,7,23,0,Male,1,1,1.02595241573026,0.830930965819318
Hadriel,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Hadrien,4,16,0,Male,1,1,1.03330254928781,0.773089770177758
Hady,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Hadya,5,0,27,Female,0,0,1.02300960269013,0.852435367568002
Hadyn,17,164,0,Male,1,1,1.00464727280875,0.97246530207182
Haedyn,1,2,0,Male,1,1,1.05215297529068,0.290227252215969
Haeeda,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Haf,14,0,71,Female,0,0,1.01016161130649,0.938510436496623
Hafeez,16,76,0,Male,1,1,1.00955293513807,0.942333479796788
Hafeeza,7,0,25,Female,0,0,1.0243949420667,0.842412806994256
Hafeezah,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Hafeza,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hafina,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hafiz,10,39,0,Male,1,1,1.017133005255,0.893200141037434
Hafiza,17,0,206,Female,0,0,1.0037320176135,0.97796150071084
Hafizah,14,0,80,Female,0,0,1.00911598770442,0.945065882760049
Hafizur,3,10,0,Male,1,1,1.04335450588766,0.679112694249454
Hafsa,17,0,2392,Female,0,0,1.00033161757099,0.998064996359137
Hafsah,17,0,1735,Female,0,0,1.00045667851111,0.997334115582732
Hafsat,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hafsha,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Hafso,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hafssa,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hafwen,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Hafza,14,0,80,Female,0,0,1.00911598770442,0.945065882760049
Hafzah,2,0,5,Female,0,0,1.05457239484969,0.51094514036714
Hagan,4,10,0,Male,1,1,1.04335450588766,0.679112694249454
Hagen,5,19,0,Male,1,1,1.02972128304972,0.802099492897666
Hager,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Hagr,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hai,6,16,4,Unknown,0.8,0.8,0.925088489723293,0.578236415445015
Haiba,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Haidan,2,4,0,Male,1,1,1.05605943068294,0.454049732862461
Haidar,17,302,0,Male,1,1,1.00257338979112,0.984866315618647
Haidarali,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Haidee,13,0,64,Female,0,0,1.01115636084088,0.932219579366318
Haiden,17,271,7,Male,0.974820143884892,0.974820143884892,0.988787393153062,0.947909433157205
Haider,17,1306,0,Male,1,1,1.0006058747426,0.996461359009375
Haider-ali,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Haidn,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Haidon,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Haidyn,4,5,2,Unknown,0.714285714285714,0.714285714285714,0.924364244636578,0.352351283191985
Haifa,9,0,65,Female,0,0,1.01100253233371,0.933195936343431
Haig,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Haika,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Haila,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hailee,5,0,14,Female,0,0,1.03616388249591,0.748525314766452
Haileigh,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hailey,17,0,369,Female,0,0,1.00211507175412,0.987581731726787
Hailie,13,0,160,Female,0,0,1.00475840111924,0.97179540370925
Hailie-jade,5,0,19,Female,0,0,1.02972128304972,0.802099492897666
Haillie,2,0,4,Female,0,0,1.05605943068294,0.454049732862462
Haimi,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Haiqa,14,0,91,Female,0,0,1.00809715516263,0.951398840908493
Haiqah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Haitham,11,59,0,Male,1,1,1.01199460177782,0.926876027695395
Haithem,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Haitley,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Haixin,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Haiya,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Haiyan,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Haizea,2,0,2,Female,0,0,1.05215297529068,0.290227252215969
Haja,10,0,53,Female,0,0,1.01318235305302,0.919235658370438
Hajar,17,0,219,Female,0,0,1.00351757026966,0.979243901311866
Hajara,14,0,88,Female,0,0,1.00835176357281,0.949821169762296
Hajarah,6,0,24,Female,0,0,1.02515029757606,0.836873497748962
Hajer,12,0,57,Female,0,0,1.01236610687025,0.924495058276775
Hajera,13,0,76,Female,0,0,1.00955293513807,0.942333479796788
Hajerah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hajir,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hajira,17,0,136,Female,0,0,1.00555538588674,0.966974514379674
Hajirah,14,0,70,Female,0,0,1.01029274843181,0.937684189157928
Hajra,17,0,577,Female,0,0,1.00136198487137,0.99202440523154
Hajrah,17,0,371,Female,0,0,1.00210388644997,0.987647890653929
Hakan,17,150,0,Male,1,1,1.00506093815037,0.969968817481557
Hakeem,17,363,0,Male,1,1,1.00214935276299,0.987378933289945
Hakim,17,184,0,Male,1,1,1.00416132271048,0.975388139666932
Hakima,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Hakki,2,2,0,Male,1,1,1.05215297529068,0.290227252215969
Hal,17,342,0,Male,1,1,1.00227861268495,0.986613815557194
Hala,16,0,161,Female,0,0,1.00473012399263,0.971965915655545
Halah,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Halaina,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Halcro,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Haldane,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Halden,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Hale,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Haleem,15,69,0,Male,1,1,1.01042730468112,0.936835437129825
Haleema,17,0,1517,Female,0,0,1.00052199810255,0.996952124661254
Haleemah,17,0,420,Female,0,0,1.00186256055483,0.989074006076987
Haleemat,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Haleena,7,0,39,Female,0,0,1.017133005255,0.893200141037433
Haleigh,7,0,30,Female,0,0,1.02119830296566,0.865288303860374
Halema,10,0,43,Female,0,0,1.01578341117229,0.902206785601917
Halen,4,17,0,Male,1,1,1.03202273223858,0.783659132752567
Halena,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Haley,17,0,189,Female,0,0,1.00405530450457,0.976024400118152
Hali,8,0,38,Female,0,0,1.01750688194436,0.89068324983006
Halia,2,0,4,Female,0,0,1.05605943068294,0.454049732862462
Halie,2,0,4,Female,0,0,1.05605943068294,0.454049732862462
Halijaide,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Halil,17,115,0,Male,1,1,1.00650910894661,0.961166659604073
Halim,10,43,0,Male,1,1,1.01578341117229,0.902206785601917
Halima,17,0,1971,Female,0,0,1.00040219476875,0.997652606641494
Halima-sadia,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Halimah,17,0,508,Female,0,0,1.00154440550177,0.990950421256608
Halimah-sadiyah,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Halimat,7,0,26,Female,0,0,1.02368252405846,0.847588554082327
Halimo,3,0,9,Female,0,0,1.04549522023528,0.655359731345175
Halina,16,0,95,Female,0,0,1.00778084765702,0.953354298803511
Halit,2,9,0,Male,1,1,1.04549522023528,0.655359731345175
Haliyah,3,0,10,Female,0,0,1.04335450588766,0.679112694249454
Haliyat,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Halla,6,0,23,Female,0,0,1.02595241573026,0.830930965819318
Hallam,17,151,0,Male,1,1,1.00502896519172,0.970162053738533
Halle,17,0,1566,Female,0,0,1.00050573892291,0.997047224913589
Halle-anne,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Halle-jade,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Halle-mae,3,0,13,Female,0,0,1.03776450540099,0.734140122244815
Halle-mai,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Halle-may,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Halle-mia,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Halle-rose,2,0,4,Female,0,0,1.05605943068294,0.454049732862462
Hallee,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Halleli,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Halley,3,0,6,Female,0,0,1.05244648969589,0.557219222401941
Halli,6,0,22,Female,0,0,1.02680555394299,0.824539571448392
Halliday,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hallie,14,0,1167,Female,0,0,1.00067760090824,0.996041460590862
Hallie-grace,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Hallie-jane,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hallie-jo,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hallie-mae,3,0,15,Female,0,0,1.03467981392105,0.761436885043099
Hallie-mai,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Hallie-may,2,0,8,Female,0,0,1.04776037949305,0.627832055623072
Hallie-rose,1,0,5,Female,0,0,1.05457239484969,0.51094514036714
Hallum,2,10,0,Male,1,1,1.04335450588766,0.679112694249454
Hally,4,0,16,Female,0,0,1.03330254928781,0.773089770177758
Halo,5,0,19,Female,0,0,1.02972128304972,0.802099492897666
Halszka,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Haly,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hamaad,17,231,0,Male,1,1,1.00334038630475,0.980301944823724
Hamad,17,198,0,Male,1,1,1.00387748375759,0.977090455915757
Hamas,10,41,0,Male,1,1,1.01643078408833,0.897901645727241
Hamayal,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hamayel,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hamaz,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Hamd,2,9,0,Male,1,1,1.04549522023528,0.655359731345175
Hamda,17,0,215,Female,0,0,1.00358088265585,0.978865501857413
Hamdaan,7,33,0,Male,1,1,1.01964734085817,0.876082661599378
Hamdah,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Hamdan,10,94,0,Male,1,1,1.00785758841732,0.952880335291131
Hamdi,16,10,142,Female,0.0657894736842105,0.0657894736842105,0.965236203973565,0.881778454377873
Hamdy,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Hamed,17,120,0,Male,1,1,1.00625352249541,0.962727311085886
Hameda,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Hameed,10,46,0,Male,1,1,1.01490202817531,0.908024408739109
Hameeda,5,0,18,Female,0,0,1.03083164145996,0.793289134893386
Hameedah,3,0,14,Female,0,0,1.03616388249591,0.748525314766452
Hameem,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Hamera,6,0,22,Female,0,0,1.02680555394299,0.824539571448392
Hamid,17,324,0,Male,1,1,1.00240245211668,0.98588011948207
Hamida,16,0,156,Female,0,0,1.0048749714856,0.97109209707698
Hamidah,11,0,49,Female,0,0,1.01411330356196,0.91318887721754
Hamilton,10,53,0,Male,1,1,1.01318235305302,0.919235658370438
Hamim,7,35,0,Male,1,1,1.01873201951779,0.882366988157803
Hamima,2,0,9,Female,0,0,1.04549522023528,0.655359731345175
Hamish,17,1999,0,Male,1,1,1.00039658125524,0.997685414299741
Hamiz,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Hammaad,17,144,0,Male,1,1,1.00526164658826,0.968754716268707
Hammad,17,422,0,Male,1,1,1.00185388091847,0.989125252885617
Hammam,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Hammed,4,12,0,Male,1,1,1.03949131523292,0.718014678111836
Hamna,14,0,202,Female,0,0,1.00380336072734,0.977534418150139
Hamnah,14,0,196,Female,0,0,1.00391563899854,0.976861829083592
Hamood,1,4,0,Male,1,1,1.05605943068294,0.454049732862461
Hamsa,17,152,0,Male,1,1,1.00499739345664,0.970352819190468
Hamse,14,73,0,Male,1,1,1.00990908751909,0.940098904525179
Hamysh,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Hamza,17,5248,0,Male,1,1,1.00015139364334,0.999117156473636
Hamzah,17,1831,0,Male,1,1,1.00043282762102,0.997473553444096
Hamze,6,26,0,Male,1,1,1.02368252405846,0.847588554082327
Hamzh,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Han,13,74,31,Unknown,0.704761904761905,0.704761904761905,0.783827208250438,0.611242836435736
Hana,17,0,2451,Female,0,0,1.00032365809271,0.99811149184054
Hana-maryam,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hanaa,17,0,194,Female,0,0,1.00395455235558,0.976628593140861
Hanaan,13,22,73,Unknown,0.231578947368421,0.231578947368421,0.842424893642506,0.673552921825777
Hanad,17,157,0,Male,1,1,1.00484529698464,0.971271191582054
Hanadi,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hanae,6,0,18,Female,0,0,1.03083164145996,0.793289134893386
Hanah,17,0,130,Female,0,0,1.00579813667497,0.965500302130603
Hanako,3,0,12,Female,0,0,1.03949131523292,0.718014678111836
Hanalei,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hanaleigh,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hanan,17,31,421,Female,0.0685840707964602,0.0685840707964602,0.951542778083877,0.90401783943645
Hanane,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hanar,5,0,18,Female,0,0,1.03083164145996,0.793289134893386
Hanasa,2,0,10,Female,0,0,1.04335450588766,0.679112694249454
Hanaya,2,0,7,Female,0,0,1.05010879551787,0.59556076941544
Haneef,8,29,0,Male,1,1,1.02177015430911,0.861260047191147
Haneefa,13,0,61,Female,0,0,1.01164468547158,0.929111446630308
Haneefah,14,0,72,Female,0,0,1.01003376499794,0.939315062405606
Haneen,17,0,131,Female,0,0,1.00575621672599,0.965755076208016
Hanen,2,0,2,Female,0,0,1.05215297529068,0.290227252215969
Hanfa,7,0,32,Female,0,0,1.0201388771232,0.872681924621729
Hanfaa,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Hang,1,0,4,Female,0,0,1.05605943068294,0.454049732862462
Hanga,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Hanhalyn,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hani,17,116,78,Unknown,0.597938144329897,0.597938144329897,0.664411429238772,0.527661558023417
Hania,17,1,252,Female,0.00395256916996047,0.00395256916996047,1.00159544706,0.975661110944636
Haniah,15,0,123,Female,0,0,1.00610957510908,0.96360491054561
Hanieh,1,0,3,Female,0,0,1.05597453703631,0.382528431208642
Haniel,2,8,0,Male,1,1,1.04776037949305,0.627832055623071
Hanif,17,147,0,Male,1,1,1.00515934228821,0.969373794352561
Hanifa,17,0,367,Female,0,0,1.00212637661606,0.987514860280939
Hanifah,17,0,161,Female,0,0,1.00473012399263,0.971965915655545
Hanife,2,0,6,Female,0,0,1.05244648969589,0.557219222401941
Hanin,10,0,42,Female,0,0,1.01610064702825,0.900100562106044
Hanish,2,6,0,Male,1,1,1.05244648969589,0.557219222401941
Hanisha,8,0,29,Female,0,0,1.02177015430911,0.861260047191147
Hanita,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Haniya,14,0,334,Female,0,0,1.00233203946916,0.986297364292876
Haniyaah,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Haniyah,11,0,121,Female,0,0,1.00620479289898,0.963024509153541
Haniyyah,5,0,20,Female,0,0,1.02868440248967,0.810190439457511
Hank,2,7,0,Male,1,1,1.05010879551787,0.59556076941544
Hanley,10,37,0,Male,1,1,1.01789725940812,0.888044914754675
Hanli,1,1,0,Male,1,1,1.03904982889782,0.167499485479413
Hanlon,1,3,0,Male,1,1,1.05597453703631,0.382528431208642
Hanna,17,0,2395,Female,0,0,1.0003312034167,0.998067415713973
Hanna-maria,1,0,1,Female,0,0,1.03904982889782,0.167499485479413
Hannaa,4,0,13,Female,0,0,1.03776450540099,0.734140122244815
Hannah,17,0,61596,Female,0,0,1.00001291480309,0.999924723691921
